yearsofexperience,yearsatcompany,basesalary,gender,Amazon,Apple,Facebook,Google,Microsoft,Business Analyst,Data Scientist,Hardware Engineer,Human Resources,Management Consultant,Marketing,Mechanical Engineer,Product Designer,Product Manager,Recruiter,Sales,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager
3,0,150000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,78000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,13,190000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,155000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,122000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,11,200000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,240000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,118000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,1,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,122000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,3,132000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,130000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,4,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,6,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,140000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,155000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,3,250000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1,125000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,2,220000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2,110000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1,165000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,4,55000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,160000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,118000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,3,160000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,3,146000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,140000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,3,130000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1,170000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,6,178000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1,140000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,3,50000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,4,150000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,1,192000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,131000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,5,210000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1,170000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,125000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,4,120000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,6,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,126000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,107000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,140000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,12,190000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,5,180000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,115000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,108000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,161000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1,220000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,8,182000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,15,230000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,4,210000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,2,192000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,106000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,1,200000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,116000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,122000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,132000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,140000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,4,144000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,150000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,119500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,135000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,116000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,165000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,108000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,4,150000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,1,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,135000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,6,185000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,190000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,140000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,116000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,166000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,136000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,15,210000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,147000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,1,199000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,120000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,118000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,119000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,10,210000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,10,210000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,8,151000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,5,142000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,145000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,108000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,108000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,155000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,0,150000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,151000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,145000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,109000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,6,223000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,6,240000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,135000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,180000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,120000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,108000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,7,142000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2,160000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,2,55000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,125000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,136000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
